Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Oatmeal Hot Cereal,South,Breakfast,Gluten,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-24,106,8 OZL,2.1g,19.1g,0.4g,2.8g,0g,0.7g,0mg,0g,82.1mg,3.5g,18.7mg,1.1mg,0mcg,106.3mg
Plant-Based Breakfast Sausage,South,Breakfast,"Soybeans, Coconut","['Gluten Friendly', 'Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,90,1 EACH,6g,4g,2.5g,0g,0g,0g,0mg,0g,210mg,6g,49mg,1mg,0mcg,280mg
Pork Sausage Links,South,Breakfast,,['Gluten Friendly'],2023-01-24,202,2 EACH,19.2g,0g,7.1g,0g,0g,0g,35.3mg,0g,433.4mg,6g,26.2mg,0.4mg,mcg,mg
Scrambled Eggs,South,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Pina Colada Muffin,South,Breakfast,"Milk, Eggs, Wheat, Soybeans, Coconut, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,341,1 EACH,16.4g,44.2g,3.5g,0.8g,0g,28.4g,55.8mg,23.2g,212.8mg,3.6g,28.5mg,0.5mg,0.3mcg,55.2mg
Baked Scrod w/  Shrimp Scampi Butter,South,Breakfast,"Milk, Fish, Crustacean Shellfish","['Gluten Friendly', 'Less Sodium']",2023-01-24,123,1 EACH,3.4g,0.3g,1.6g,0.1g,0g,0g,81mg,0g,297mg,22.3g,33.2mg,0.4mg,0mcg,35mg
Mixed Vegetables,South,Breakfast,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,67,3 OZ,0g,13.3g,0g,3.3g,0g,4.4g,0mg,0g,94.5mg,3.3g,22.2mg,0.8mg,0mcg,mg
Chefs Omelet Du Jour,South,Breakfast,"Milk, Eggs, Soybeans",[],2023-01-24,293,1 EACH,20.1g,1.5g,9.3g,0g,0g,0.5g,478.6mg,0g,507.5mg,22.1g,236.4mg,2.9mg,2.7mcg,203.7mg
Fried Eggs,South,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Grilled Chicken Breast,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-24,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Chef's Choice Soup du Jour,South,Lunch,,[],2023-01-24,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Beef Burger No Bun,South,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-24,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Grilled Cheese,South,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-24,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chorizo Sausage,South,Lunch,,['Gluten Friendly'],2023-01-24,299,1 EACH,26.9g,2g,11g,0g,0g,1g,74.7mg,0g,766.7mg,11g,0mg,1.1mg,mcg,mg
Malibu Burgers,South,Lunch,"Wheat, Soybeans","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,170,1 EA,9g,21g,1g,4g,0g,2g,0mg,0g,440mg,4g,20mg,0.7mg,0mcg,280mg
Shoestring Fries,South,Lunch,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-24,226,4 OZ,17.2g,24g,1.8g,2g,0g,0g,0mg,0g,370.2mg,2g,0mg,0.4mg,mcg,260.2mg
Onion Rings,South,Lunch,"Eggs, Wheat, Soybeans, Gluten",['Vegetarian'],2023-01-24,488,4 OZ,30.9g,47.3g,5.3g,0g,0g,0g,0mg,0g,721mg,7.5g,0mg,0mg,0mcg,mg
Sweet & Smoky Steak for Sandwich,South,Lunch,,['Gluten Friendly'],2023-01-24,239,4 OZ,8.1g,3.6g,2.8g,0.2g,0g,3g,78.2mg,0.4g,389mg,35.2g,9mg,3mg,0mcg,471mg
Baked Scrod w/  Shrimp Scampi Butter,South,Lunch,"Milk, Fish, Crustacean Shellfish","['Gluten Friendly', 'Less Sodium']",2023-01-24,123,1 EACH,3.4g,0.3g,1.6g,0.1g,0g,0g,81mg,0g,297mg,22.3g,33.2mg,0.4mg,0mcg,35mg
Chicken Florentine,South,Lunch,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-24,122,1 EACH,4.3g,2.1g,2.1g,0.2g,0g,1g,56.3mg,0g,229mg,18.2g,169.7mg,0.5mg,0.4mcg,6.1mg
Harissa Roasted Vegetables,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,126,5 OZ,8.6g,12.2g,1.2g,2.9g,0g,4.7g,0mg,0g,210.6mg,2g,31.6mg,1.2mg,0mcg,338.8mg
Mixed Vegetables,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,67,3 OZ,0g,13.3g,0g,3.3g,0g,4.4g,0mg,0g,94.5mg,3.3g,22.2mg,0.8mg,0mcg,mg
Wild Mushroom Risotto,South,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,139,4 OZ,3.3g,23.1g,2.1g,1g,0g,0.4g,9mg,0g,282.5mg,3.2g,41mg,0.3mg,0mcg,68.8mg
Taco Bar,South,Lunch,,[],2023-01-24,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Fried Sweet Potato Tots,South,Lunch,Gluten,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,272,4 OZ,15.9g,31.1g,0.8g,2.7g,0g,10.8g,0mg,0g,270mg,1.4g,27mg,0.5mg,0mcg,229.5mg
Garlic Bread,South,Lunch,"Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,121,1 SLICE,5.3g,14.9g,1.6g,0.4g,0g,0.1g,0mg,0g,158mg,2.9g,4.7mg,1mg,0mcg,33.3mg
Marinara Sauce,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
M & M Cookies,South,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,160,1 EACH,7g,24g,3.5g,1g,0g,15g,10mg,0g,140mg,2g,0mg,0.7mg,0mcg,35mg
Snickerdoodle Cookies,South,Lunch,"Milk, Eggs, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,171,1 EACH,7.2g,25.4g,4.1g,0.1g,0g,14.9g,15.4mg,1.6g,143.8mg,2.1g,4mg,0.8mg,0mcg,36.9mg
Huli Huli Chicken,South,Dinner,Soybeans,"['Gluten Friendly', 'Smart Check']",2023-01-24,259,1 EACH,7.4g,7.2g,1.6g,0g,0g,6.3g,170.9mg,0g,580.2mg,36.6g,36.6mg,2.1mg,0mcg,21.4mg
Chef's Choice Soup du Jour,South,Dinner,,[],2023-01-24,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Beef Burger No Bun,South,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-24,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Grilled Cheese,South,Dinner,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-24,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-24,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Chorizo Sausage,South,Dinner,,['Gluten Friendly'],2023-01-24,299,1 EACH,26.9g,2g,11g,0g,0g,1g,74.7mg,0g,766.7mg,11g,0mg,1.1mg,mcg,mg
Malibu Burgers,South,Dinner,"Wheat, Soybeans","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,170,1 EA,9g,21g,1g,4g,0g,2g,0mg,0g,440mg,4g,20mg,0.7mg,0mcg,280mg
Shoestring Fries,South,Dinner,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-24,226,4 OZ,17.2g,24g,1.8g,2g,0g,0g,0mg,0g,370.2mg,2g,0mg,0.4mg,mcg,260.2mg
Couscous,South,Dinner,"Wheat, Soybeans","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,173,4 OZ,2.2g,30g,0.6g,0.1g,0g,0.4g,3.4mg,0g,177.5mg,4.9g,10.6mg,1.8mg,0.1mcg,99mg
Kofta Curry,South,Dinner,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-24,310,2 EACH,20.9g,12.1g,9.6g,0.7g,0.6g,10.2g,75.5mg,4.3g,460.9mg,15.3g,550.3mg,2mg,0mcg,385.4mg
Honey Lime Sweet Potato,South,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,127,4 OZ,2.3g,25.6g,0.7g,3.3g,0g,8.1g,0mg,3.6g,133.8mg,1.7g,34.3mg,0.7mg,0mcg,367.7mg
Korean Pork Loin,South,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium']",2023-01-24,225,4 OZ,11.7g,0.5g,4.1g,0.1g,0g,0.4g,87.9mg,0.2g,108.4mg,27g,1.3mg,1.3mg,0mcg,10.7mg
Korean Sweet Black Beans,South,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Vegetarian']",2023-01-24,108,3 OZ,1.8g,18.8g,0.2g,0.1g,0g,8.4g,0mg,7.1g,822.7mg,5.3g,23.2mg,1.5mg,0mcg,251.8mg
Sauteed Kale,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,66,3 OZ,2g,10.5g,0.2g,4.2g,0g,2.8g,0mg,0g,43.3mg,4.9g,171.6mg,1.7mg,0mcg,565.1mg
Sesame Cilantro Rice,South,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,183,4 OZ,3.7g,33.7g,0.9g,0.1g,0g,0g,0mg,0g,45mg,2.9g,4.1mg,0.1mg,0mcg,6.4mg
Pepper Steak Stir Fry,South,Dinner,Soybeans,['Gluten Friendly'],2023-01-24,162,6 OZ,6.8g,6.9g,2.2g,1.4g,0g,3.6g,45.4mg,0g,536.6mg,17.9g,13.4mg,2.1mg,0mcg,446.3mg
Sesame Vegetables,South,Dinner,Sesame,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,50,3 OZ,1.7g,7.3g,0.1g,2.2g,0g,4.4g,0mg,0g,117.2mg,2g,29.1mg,1mg,0mcg,232.9mg
Spring Vegetable Lo Mein,South,Dinner,"Wheat, Soybeans, Sesame","['Vegetarian', 'Vegan']",2023-01-24,274,6 OZ,5.9g,47.4g,0.6g,2.2g,0g,9.1g,0mg,5.5g,630.1mg,9g,44.9mg,1.7mg,0mcg,158mg
White Rice,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,91,3 OZ,0g,20.4g,0g,0g,0g,0g,0mg,0g,2.4mg,2.1g,19.5mg,1.1mg,0mcg,44mg
Marinara Sauce,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Roasted Cauliflower w/ Pumpkin Seeds,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,57,3 OZ,2.2g,7.7g,0.4g,3.4g,0g,2.4g,0mg,0g,138.5mg,3.9g,30.2mg,0.6mg,0mcg,395.5mg
Midnight Choc Cake w/ Chocolate Frosting,South,Dinner,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,308,1/35 HFSHT,15.2g,37.9g,8.8g,1g,0.2g,25.6g,15.9mg,0g,329.6mg,2.7g,17.1mg,1.6mg,0mcg,81.6mg
Cheesy Scrambled Eggs,South,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,158,3 OZ,10.5g,0g,4.4g,0g,0g,0g,305.6mg,0g,166.5mg,12.5g,104.3mg,1.9mg,1.7mcg,113.5mg
French Toast Stix,South,Breakfast,"Wheat, Soybeans, Gluten",['Vegetarian'],2023-01-25,540,5 EACH,34.3g,54.7g,2.9g,1.3g,0g,12.7g,0mg,12.7g,572.3mg,6.4g,25.4mg,3.2mg,0mcg,63.6mg
Hard Boiled Eggs,South,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Lyonnaise Potatoes,South,Breakfast,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,118,4 OZ,2.7g,20.6g,0.9g,0g,0g,0.4g,19.7mg,0g,213.4mg,1.9g,2.7mg,0.3mg,0mcg,301.1mg
Oatmeal Hot Cereal,South,Breakfast,Gluten,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-25,106,8 OZL,2.1g,19.1g,0.4g,2.8g,0g,0.7g,0mg,0g,82.1mg,3.5g,18.7mg,1.1mg,0mcg,106.3mg
Plant-Based Breakfast Sausage,South,Breakfast,"Soybeans, Coconut","['Gluten Friendly', 'Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,90,1 EACH,6g,4g,2.5g,0g,0g,0g,0mg,0g,210mg,6g,49mg,1mg,0mcg,280mg
Scrambled Eggs,South,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Turkey Sausage Links,South,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-25,153,2 EACH,12g,0g,3.8g,0g,0g,0g,65.7mg,0g,470.7mg,10.9g,0mg,0.8mg,0mcg,mg
Blueberry Coffee Cake,South,Breakfast,"Milk, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,248,1/35 HFSHT,7.1g,42g,2.2g,0.6g,0g,20.3g,0mg,19.6g,175.4mg,3.2g,19.2mg,0.9mg,0mcg,40.6mg
Chefs Omelet Du Jour,South,Breakfast,"Milk, Eggs, Soybeans",[],2023-01-25,293,1 EACH,20.1g,1.5g,9.3g,0g,0g,0.5g,478.6mg,0g,507.5mg,22.1g,236.4mg,2.9mg,2.7mcg,203.7mg
Fried Eggs,South,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Grilled Lemon Garlic Chicken,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-25,87,1 EACH,2.2g,0.2g,0.5g,0g,0g,0g,48.3mg,0g,145.1mg,17.2g,1mg,0.4mg,0mcg,2.7mg
Chef's Choice Soup du Jour,South,Lunch,,[],2023-01-25,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Beef Burger No Bun,South,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-25,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
California Veggie Burger w/ Bun,South,Lunch,"Wheat, Soybeans, Gluten","['Smart Check', 'Vegetarian', 'Vegan']",2023-01-25,290,1 EACH,7g,43g,0g,6g,0g,5g,0mg,0g,510mg,11g,100mg,3.8mg,0mcg,mg
Crinkle Cut Fries,South,Lunch,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-25,240,4 OZ,17.7g,21g,1.8g,2g,0g,0g,0mg,0g,420.2mg,2g,0mg,0.4mg,mcg,280.2mg
Grilled Cheese,South,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-25,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-25,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Kielbasa Dogs,South,Lunch,Milk,['Gluten Friendly'],2023-01-25,232,1 EACH,20.2g,3g,8.1g,0g,0g,1g,40.3mg,1g,715.7mg,10.1g,40.3mg,1mg,0mcg,231.8mg
Chicken & Tabouleh Wrap,South,Lunch,"Wheat, Soybeans, Sesame",[],2023-01-25,343,1/2 EACH,15.2g,34.9g,2.4g,1.2g,0g,1.9g,28.1mg,0g,573.7mg,17.3g,80.6mg,2.5mg,0mcg,188.3mg
BBQ Sauce,South,Lunch,,"['Gluten Friendly', 'Vegetarian', 'Vegan']",2023-01-25,120,2 OZL,0g,28g,0g,0g,0g,26g,0mg,0g,560mg,0g,0mg,0mg,mcg,mg
Baked Beans,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,138,4 OZ,0g,27.8g,0g,0.8g,0g,12.3g,0mg,9.4g,365.4mg,8g,43.3mg,1.6mg,0mcg,319.7mg
Macaroni & Cheese,South,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-25,325,6 OZ,18.4g,25.4g,10g,0.8g,0g,4.9g,42.4mg,0g,505.2mg,14.3g,367.7mg,1mg,1.6mcg,80.5mg
Pulled Pork,South,Lunch,,['Gluten Friendly'],2023-01-25,406,4 OZ,29.5g,8.5g,10.3g,0.3g,0g,7.3g,102.6mg,1.5g,528.4mg,28g,3.2mg,1.8mg,0mcg,19.2mg
Steamed Broccoli,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,24,3 OZ,0.3g,4.3g,0g,2g,0g,1.3g,0mg,0g,23mg,2.5g,40.8mg,0.7mg,0mcg,276.4mg
Sauteed Baby Bok Choy,South,Lunch,"Soybeans, Sesame","['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,39,4 OZ,1.7g,4.8g,0.2g,2g,0g,2.6g,0mg,0.5g,172.7mg,2.2g,150.5mg,1.2mg,0mcg,1.5mg
Singapore Street Noodles with Shrimp,South,Lunch,"Fish, Crustacean Shellfish, Soybeans",['Gluten Friendly'],2023-01-25,224,6 OZ,8.3g,30.7g,0.6g,1g,0g,4.3g,20.3mg,0g,652.2mg,6.8g,36.7mg,0.8mg,0mcg,142.2mg
Teriyaki Pork Stir fry,South,Lunch,"Wheat, Soybeans, Gluten, Sesame",['Less Sodium'],2023-01-25,122,4 OZ,5.4g,5.7g,1.5g,1g,0g,3.3g,38mg,1g,167.7mg,12.2g,13mg,1mg,0mcg,113.4mg
White Rice,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,91,3 OZ,0g,20.4g,0g,0g,0g,0g,0mg,0g,2.4mg,2.1g,19.5mg,1.1mg,0mcg,44mg
Chickpea & Kale Stew,South,Lunch,"Soybeans, Coconut","['Gluten Friendly', 'Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,109,6 OZ,2.9g,18.3g,1.4g,3.1g,0g,4.2g,0mg,0g,258.2mg,4.2g,93.9mg,1.3mg,0mcg,450.3mg
Marinara Sauce,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Tempura Battered Pickle Chips,South,Lunch,"Wheat, Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-25,261,3 OZ,18.9g,22.4g,2.3g,0g,0g,2.1g,0mg,1.1g,885.9mg,3.2g,47mg,1.5mg,0mcg,65.1mg
Chocolate Streusel Brownies,South,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,227,1/96 SHEET,10.1g,31.5g,2.9g,1.1g,0g,23.2g,18.5mg,18.5g,151.9mg,1.9g,13.9mg,1.9mg,0.1mcg,89.9mg
Ranger Cookies,South,Lunch,"Wheat, Soybeans, Coconut, The UConn bakery uses coconut (a tree nut).","['Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,180,1 EACH,9g,24g,5g,0g,0g,10g,0mg,0g,125mg,2g,26mg,0.4mg,mcg,0mg
Hoisin Glazed Salmon,South,Dinner,"Fish, Wheat, Soybeans, Sesame","['Less Sodium', 'Smart Check']",2023-01-25,168,1 EACH,7.4g,0.9g,1g,0.1g,0g,0.6g,45.2mg,0.5g,132.8mg,22.3g,1.9mg,0.1mg,0mcg,1.2mg
Chef's Choice Soup du Jour,South,Dinner,,[],2023-01-25,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Beef Burger No Bun,South,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-25,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
California Veggie Burger w/ Bun,South,Dinner,"Wheat, Soybeans, Gluten","['Smart Check', 'Vegetarian', 'Vegan']",2023-01-25,290,1 EACH,7g,43g,0g,6g,0g,5g,0mg,0g,510mg,11g,100mg,3.8mg,0mcg,mg
Crinkle Cut Fries,South,Dinner,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-25,240,4 OZ,17.7g,21g,1.8g,2g,0g,0g,0mg,0g,420.2mg,2g,0mg,0.4mg,mcg,280.2mg
Grilled Cheese,South,Dinner,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-25,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-25,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Kielbasa Dogs,South,Dinner,Milk,['Gluten Friendly'],2023-01-25,232,1 EACH,20.2g,3g,8.1g,0g,0g,1g,40.3mg,1g,715.7mg,10.1g,40.3mg,1mg,0mcg,231.8mg
Basmati Rice,South,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,178,4 OZ,2.6g,34.9g,0.8g,0g,0g,0g,0mg,0g,23.8mg,2.9g,2.1mg,0mg,0mcg,0mg
Halal Indian Butter Chicken,South,Dinner,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-25,262,6 OZL,15.3g,6.9g,8.5g,1.2g,0g,3.5g,101.1mg,0g,262.1mg,20.5g,650mg,0.9mg,0mcg,452.1mg
Balsamic Glazed Carrots & Kale,South,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,80,4 OZ,3.5g,11.2g,0.5g,2g,0g,4.9g,0mg,1g,150.4mg,3.1g,102.9mg,1.1mg,0mcg,451.3mg
Chicken Rustica,South,Dinner,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-25,144,1 EACH,6.1g,4.5g,1.2g,0.6g,0g,3.1g,50mg,0g,411.4mg,18.4g,30.4mg,0.9mg,0mcg,8.2mg
Peas With Feta,South,Dinner,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,63,3 OZL,0.6g,9.6g,0.3g,3.2g,0g,0g,1.2mg,0g,20.1mg,4.3g,15.2mg,0.8mg,0mcg,108.6mg
Rice Pilaf,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,141,3 oz,3.7g,23.8g,0.3g,0.2g,0g,0.5g,0mg,0g,190.9mg,2.5g,24.1mg,1.2mg,0mcg,70.8mg
Tuscan Potatoes,South,Dinner,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,124,4 OZ,4.6g,20.7g,0.6g,2.4g,0g,2.6g,1.4mg,0g,246.1mg,3.7g,36.3mg,0.9mg,0mcg,563.6mg
Belgian Waffle Bar,South,Dinner,,[],2023-01-25,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Marinara Sauce,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Mozzarella cheese Stuffed Shells,South,Dinner,"Milk, Eggs, Wheat",['Vegetarian'],2023-01-25,277,2 EA,11g,32.8g,4.7g,1.9g,0g,7.8g,48.5mg,0g,705.1mg,11.1g,203mg,2.5mg,0mcg,1.6mg
Sweet-n-Sour Tofu,South,Dinner,"Wheat, Soybeans, Sesame",['Less Sodium'],2023-01-25,153,6 OZ,7.1g,11g,0.9g,1.5g,0g,5.8g,0mg,4.8g,187.3mg,11.8g,121.6mg,2.2mg,0mcg,349.3mg
Lemon Delights,South,Dinner,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-25,238,1 EACH,10.5g,34.6g,7g,0g,0g,22.2g,15.4mg,6.9g,161.2mg,2.1g,0mg,0.7mg,0mcg,35.9mg
