Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Confetti Cake,Whitney,Dinner,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-22,203,1/35 HFSHT,8.7g,30g,3.4g,0g,0g,17.1g,0mg,16.8g,250.2mg,1.4g,14.8mg,0.6mg,0mcg,28.4mg
Belgian Waffle,Whitney,Breakfast,"Milk, Eggs, Wheat, Soybeans",['Vegetarian'],2023-01-23,398,2 EACH,17.4g,52g,7.7g,2g,0g,10g,70.3mg,0g,860.8mg,8g,20mg,2.7mg,0mcg,0mg
Breakfast Potatoes,Whitney,Breakfast,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,126,4 OZ,3g,22.7g,1g,0.2g,0g,0g,0mg,0g,350.1mg,1.5g,2.2mg,0.1mg,0mcg,9.6mg
Cage Free Boiled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-23,150,2 EA,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Corned Beef Hash,Whitney,Breakfast,,['Gluten Friendly'],2023-01-23,185,3 OZ,11.7g,11.7g,4.9g,0g,0g,1.5g,33.9mg,0.8g,587.5mg,7.9g,36.5mg,1mg,0mcg,173.6mg
Omelet Bar,Whitney,Breakfast,,[],2023-01-23,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Plant Based Pancakes,Whitney,Breakfast,"Wheat, Soybeans","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,453,2 EACH,18.1g,60g,1.1g,0g,0g,15.4g,0mg,14.2g,486.8mg,10.8g,289.4mg,3.4mg,1mcg,164.4mg
Scrambled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-23,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Scrambled Eggs with American Cheese,Whitney,Breakfast,"Milk, Eggs, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-23,167,3 OZ,11.5g,1.8g,5.1g,0g,0g,0.6g,284.1mg,0g,395.6mg,12.6g,120.6mg,1.8mg,1.7mcg,140.5mg
Banana Bread,Whitney,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-23,200,1/16 LOAF,5.2g,34.3g,3g,0.5g,0g,16.8g,36.3mg,14.2g,450mg,3.9g,38.5mg,1.2mg,0.1mcg,109.2mg
Korean BBQ Chicken,Whitney,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-23,172,4 OZ,5.4g,1g,1.2g,0g,0g,0.7g,125.6mg,0.4g,239.5mg,26.6g,24.3mg,1.4mg,0mcg,1mg
"""BLT"" Panini",Whitney,Lunch,"Milk, Wheat, Soybeans, Sesame",[],2023-01-23,264,1 WEDGE,13.9g,24.6g,5.4g,0g,0g,3.4g,25.4mg,0g,734.2mg,11.5g,158mg,1.1mg,0.1mcg,152.5mg
Crispy Orange Ginger Tofu,Whitney,Lunch,"Wheat, Soybeans, Gluten","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,260,4 OZ,17.2g,15.6g,1.4g,0g,0g,6.9g,0mg,0g,94.4mg,10.7g,100.5mg,2.2mg,0mcg,154.1mg
Imperial Shrimp & Vegetables,Whitney,Lunch,"Crustacean Shellfish, Wheat, Soybeans, Gluten, Sesame",[],2023-01-23,223,4 OZ,7.3g,30.3g,0.5g,0.7g,0g,5.7g,42.2mg,4.2g,574.2mg,9g,36.2mg,0.7mg,1.7mcg,162.4mg
Mac & Cheese Bar,Whitney,Lunch,,[],2023-01-23,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Gnocchi Sausage Soup,Whitney,Lunch,"Milk, Eggs, Wheat",[],2023-01-23,142,6 OZL,3.5g,20.4g,1.2g,2.5g,0g,2.9g,17.3mg,0.2g,631.5mg,5.7g,55.3mg,0.7mg,0mcg,52.7mg
Edamame Fried Rice,Whitney,Lunch,"Soybeans, Sesame","['Gluten Friendly', 'Vegetarian', 'Vegan']",2023-01-23,273,6 OZ,8.3g,41.9g,0.8g,1.1g,0g,3.1g,0mg,0g,771.8mg,6.7g,47.6mg,2.6mg,0mcg,218.1mg
Steamed Broccoli,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,24,3 OZ,0.3g,4.3g,0g,2g,0g,1.3g,0mg,0g,23mg,2.5g,40.8mg,0.7mg,0mcg,276.4mg
Chocolate Chip Cookie,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-23,340,2 EACH,16g,46g,8g,2g,0g,30g,20mg,0g,260mg,4g,0mg,4mg,mcg,140mg
Lemon Bars,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-23,238,1/35 HFSHT,6.2g,40.5g,2.6g,0g,0g,28.7g,41.8mg,0g,142.9mg,1.7g,0.5mg,0.6mg,0mcg,33.4mg
Dairy Free Tofu Baked Ziti,Whitney,Dinner,"Wheat, Soybeans, Coconut","['Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,164,4 OZ,3.1g,27g,0.3g,2g,0g,5.4g,0mg,0g,384.5mg,6g,51.6mg,1.8mg,0mcg,23.1mg
Grilled Kielbasa,Whitney,Dinner,Gluten,[],2023-01-23,328,2 EACH,29.5g,4.9g,9.8g,0g,0g,1.6g,49.2mg,0g,1218.5mg,8.2g,42.6mg,0.6mg,mcg,0mg
Potato & Cheese Pierogi,Whitney,Dinner,"Milk, Eggs, Wheat, Soybeans",['Vegetarian'],2023-01-23,343,4 EACH,15.7g,42.8g,5.5g,0.2g,0g,1.5g,25.1mg,0g,696.6mg,7.1g,32.9mg,2.3mg,0mcg,266.3mg
Stuffed Beef Cabbage,Whitney,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-23,250,1 EACH,10.9g,28.8g,4.4g,1.7g,0.4g,18.3g,30.2mg,9.1g,422.8mg,10.6g,47.2mg,2.1mg,0mcg,400.6mg
Braised Red Cabbage,Whitney,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,111,3 OZ,2.9g,17.3g,0.2g,1.7g,0g,13.4g,0mg,0g,156.2mg,0.8g,26.1mg,0.5mg,0mcg,153.1mg
Lemon Dill Potato,Whitney,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-23,99,4 OZ,2.5g,20.1g,0.3g,2.3g,0g,2.3g,0mg,0g,140.8mg,3.1g,19.7mg,0.9mg,0mcg,555.9mg
Apple Pie,Whitney,Dinner,"Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,495,1/8 PIE,28.5g,58.5g,12g,3g,0g,28.5g,0mg,0g,465mg,3g,0mg,1.6mg,0mcg,mg
Bacon,Whitney,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-24,45,2 EACH,3.5g,0g,1.5g,0g,0g,0g,10mg,0g,125mg,3g,0mg,0mg,mcg,mg
Cage Free Boiled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,150,2 EA,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
French Toast,Whitney,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-24,315,2 SLICES,9.9g,36.6g,2.9g,0g,0g,4.6g,263.4mg,2g,486mg,16.9g,180.3mg,3.6mg,2.6mcg,169.2mg
Fried Hash Brown Patties,Whitney,Breakfast,"Soybeans, Gluten","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,178,1 EACH,12.6g,15g,0.9g,2g,0g,0g,0mg,0g,240mg,1g,0mg,0mg,0mcg,150mg
Scrambled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Scrambled Eggs with American Cheese,Whitney,Breakfast,"Milk, Eggs, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,167,3 OZ,11.5g,1.8g,5.1g,0g,0g,0.6g,284.1mg,0g,395.6mg,12.6g,120.6mg,1.8mg,1.7mcg,140.5mg
Vegan French Toast,Whitney,Breakfast,"Wheat, Soybeans","['Smart Check', 'Vegetarian', 'Vegan']",2023-01-24,309,2 EACH,8g,48.2g,0.2g,0.1g,0g,9g,0mg,7.2g,542.9mg,11.4g,184.4mg,2.8mg,1.5mcg,219.5mg
Pina Colada Muffin,Whitney,Breakfast,"Milk, Eggs, Wheat, Soybeans, Coconut, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,341,1 EACH,16.4g,44.2g,3.5g,0.8g,0g,28.4g,55.8mg,23.2g,212.8mg,3.6g,28.5mg,0.5mg,0.3mcg,55.2mg
Sweet & Sour Tofu,Whitney,Lunch,Soybeans,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-24,175,6 OZ,4.5g,23.8g,0.6g,0g,0g,19.2g,0mg,12.5g,213.3mg,9.1g,86.8mg,1.7mg,0mcg,226.8mg
Coconut Green Chili Chicken,Whitney,Lunch,Coconut,"['Gluten Friendly', 'Contains Nuts', 'Less Sodium']",2023-01-24,163,1 EACH,6.6g,1.5g,2.7g,0.1g,0g,1.3g,102.6mg,0.9g,123.3mg,21.8g,22.3mg,1.2mg,0mcg,28.3mg
Curry Potato Enchilada,Whitney,Lunch,"Milk, Wheat, Soybeans",['Vegetarian'],2023-01-24,395,1 EACH,10.3g,68g,2g,1.4g,0g,5.6g,0.8mg,2g,1238.5mg,9.2g,168.4mg,3.4mg,0mcg,277.5mg
Nacho Bar,Whitney,Lunch,,[],2023-01-24,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Pasta Primavera,Whitney,Lunch,"Milk, Wheat",['Vegetarian'],2023-01-24,450,6 OZ,28.4g,31.7g,21.6g,2.1g,0g,2.5g,107.6mg,0g,713.5mg,10.9g,1999.7mg,1.6mg,0mcg,176.5mg
Vegetarian Lentil Soup,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,247,6 OZL,0.8g,41.4g,0.1g,17.2g,0g,3.8g,0mg,0.1g,453.7mg,15.3g,41.2mg,4.9mg,0mcg,198.2mg
"Corn, Edamame and Cumin Saute",Whitney,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,90,4 OZ,4.6g,8.3g,0.3g,2.1g,0g,3.3g,0mg,0g,65mg,4.2g,30mg,1.1mg,0mcg,309.8mg
Vegetable Samosas w/ Chutney,Whitney,Lunch,"Wheat, Gluten","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,297,2 EACH,16.6g,34.1g,0.6g,2g,0g,6g,0mg,5.7g,435.9mg,4g,1.2mg,1.5mg,0mcg,0mg
M & M Cookies,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,160,1 EACH,7g,24g,3.5g,1g,0g,15g,10mg,0g,140mg,2g,0mg,0.7mg,0mcg,35mg
Snickerdoodle Cookies,Whitney,Lunch,"Milk, Eggs, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,171,1 EACH,7.2g,25.4g,4.1g,0.1g,0g,14.9g,15.4mg,1.6g,143.8mg,2.1g,4mg,0.8mg,0mcg,36.9mg
Baked Scrod Florentine,Whitney,Dinner,"Milk, Fish, Wheat",['Less Sodium'],2023-01-24,254,1 EACH,14.3g,4.8g,8.2g,0.3g,0g,3.4g,92.5mg,0g,178.5mg,19.5g,1351.9mg,1mg,0mcg,7.9mg
Eggplant Parmesan,Whitney,Dinner,"Milk, Eggs, Wheat, Gluten","['Less Sodium', 'Vegetarian']",2023-01-24,246,1 EACH,14.4g,23.6g,2.8g,2.9g,0g,7g,54mg,0g,413.7mg,7.9g,137.5mg,1.2mg,0.3mcg,109.5mg
Grilled Steak Toscano,Whitney,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-24,443,1 EACH,30.1g,0.1g,12.4g,0g,1.8g,1.8g,132.8mg,0g,211.2mg,35.4g,0.9mg,3.2mg,0mcg,2.3mg
Penne w/Tomato Pesto,Whitney,Dinner,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,243,6 OZ,5.1g,40.3g,0.6g,2g,0g,4.1g,0mg,0g,276.3mg,6.5g,12.2mg,2.1mg,0mcg,5.2mg
Italian Style Zucchini,Whitney,Dinner,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,50,3 OZ,2.8g,4.2g,0.8g,0.7g,0g,2.6g,3.4mg,0g,272.8mg,2.2g,53.3mg,0.3mg,0mcg,121.6mg
Mashed Red Potatoes,Whitney,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,139,4 OZ,8g,17.1g,2.5g,2g,0g,2.1g,0mg,0g,151.6mg,2.8g,26.4mg,0.7mg,0mcg,474.6mg
Midnight Choc Cake w/ Chocolate Frosting,Whitney,Dinner,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,308,1/35 HFSHT,15.2g,37.9g,8.8g,1g,0.2g,25.6g,15.9mg,0g,329.6mg,2.7g,17.1mg,1.6mg,0mcg,81.6mg
Cage Free Boiled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,150,2 EA,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
French Toast,Whitney,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-25,315,2 SLICES,9.9g,36.6g,2.9g,0g,0g,4.6g,263.4mg,2g,486mg,16.9g,180.3mg,3.6mg,2.6mcg,169.2mg
O'Brien Potatoes,Whitney,Breakfast,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,128,4 OZ,4g,21.1g,1.3g,0.2g,0g,0.6g,0.1mg,0g,167.6mg,1.4g,2.3mg,0mg,0mcg,18.6mg
Omelet Bar,Whitney,Breakfast,,[],2023-01-25,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Pork Sausage Links,Whitney,Breakfast,,['Gluten Friendly'],2023-01-25,202,2 EACH,19.2g,0g,7.1g,0g,0g,0g,35.3mg,0g,433.4mg,6g,26.2mg,0.4mg,mcg,mg
Scrambled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Scrambled Eggs with American Cheese,Whitney,Breakfast,"Milk, Eggs, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,167,3 OZ,11.5g,1.8g,5.1g,0g,0g,0.6g,284.1mg,0g,395.6mg,12.6g,120.6mg,1.8mg,1.7mcg,140.5mg
Vegan French Toast,Whitney,Breakfast,"Wheat, Soybeans","['Smart Check', 'Vegetarian', 'Vegan']",2023-01-25,309,2 EACH,8g,48.2g,0.2g,0.1g,0g,9g,0mg,7.2g,542.9mg,11.4g,184.4mg,2.8mg,1.5mcg,219.5mg
Blueberry Coffee Cake,Whitney,Breakfast,"Milk, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,248,1/35 HFSHT,7.1g,42g,2.2g,0.6g,0g,20.3g,0mg,19.6g,175.4mg,3.2g,19.2mg,0.9mg,0mcg,40.6mg
BBQ Tempeh & Peppers,Whitney,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-25,147,4 OZ,2.3g,22.8g,0.5g,0.6g,0g,15.5g,0mg,0g,490.1mg,8.6g,44.1mg,1.1mg,0mcg,194.4mg
Grilled Mojito & Lime Chicken,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-25,220,1 EACH,7g,0.2g,1.6g,0.1g,0g,0g,164.1mg,0g,289mg,34.4g,32.7mg,1.7mg,0mcg,4.7mg
Curry Bar,Whitney,Lunch,,[],2023-01-25,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,0.2mg,0g,0.1mg,0mg,0mcg,0mg
Pernil,Whitney,Lunch,,['Gluten Friendly'],2023-01-25,372,4 OZ,29.3g,0.5g,10.3g,0.1g,0g,0g,102.6mg,0g,1165.4mg,27.9g,3.6mg,1.6mg,0mcg,6.1mg
Minestrone Soup,Whitney,Lunch,"Wheat, Soybeans","['Vegetarian', 'Vegan']",2023-01-25,58,6 OZL,1.3g,9.4g,0.2g,1.1g,0g,2.9g,0mg,0.1g,659.3mg,1.7g,32.2mg,0.6mg,0mcg,85.1mg
Baked Plantains,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,194,3 EACH,3.7g,38.8g,0.7g,1.5g,0g,32.8g,0mg,0g,0mg,0.7g,5.2mg,0.4mg,0mcg,552.1mg
Fresh Vegetable Saute,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,66,3 OZ,4.9g,5.4g,0.7g,1.6g,0g,2.8g,0mg,0g,187.3mg,1.5g,24mg,0.5mg,0mcg,259.6mg
Yellow Rice w/ Pinto Beans,Whitney,Lunch,,"['Gluten Friendly', 'Vegetarian', 'Vegan']",2023-01-25,216,6 OZ,0g,46.9g,0g,1.4g,0g,0.8g,0mg,0g,524.9mg,6.1g,54mg,2.8mg,0mcg,230.8mg
Chocolate Streusel Brownies,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,227,1/96 SHEET,10.1g,31.5g,2.9g,1.1g,0g,23.2g,18.5mg,18.5g,151.9mg,1.9g,13.9mg,1.9mg,0.1mcg,89.9mg
Ranger Cookies,Whitney,Lunch,"Wheat, Soybeans, Coconut, The UConn bakery uses coconut (a tree nut).","['Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,180,1 EACH,9g,24g,5g,0g,0g,10g,0mg,0g,125mg,2g,26mg,0.4mg,mcg,0mg
Tamarind Glazed Salmon,Whitney,Dinner,Fish,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-25,171,1 EACH,7g,2.8g,1g,0g,0g,2.8g,45.2mg,2.5g,76mg,22.1g,0.5mg,0mg,0mcg,0mg
Baked Potato Bar,Whitney,Dinner,,[],2023-01-25,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Curry Bar,Whitney,Dinner,,[],2023-01-25,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,0.2mg,0g,0.1mg,0mg,0mcg,0mg
General Tso's Chicken,Whitney,Dinner,"Eggs, Wheat, Soybeans, Gluten",[],2023-01-25,327,6 OZ,18g,24.6g,2.2g,2.1g,0g,10.7g,40mg,0g,857.1mg,18.4g,43mg,1.3mg,0mcg,364mg
Korean BBQ Tofu,Whitney,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,139,1 EACH,7.3g,5.3g,0.9g,0g,0g,1.5g,0mg,1.2g,146.8mg,11.5g,105.9mg,1.8mg,0mcg,163.4mg
Braised Baby Bok Choy,Whitney,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,18,3 OZ,0.1g,3.4g,0g,1.6g,0g,1.7g,0mg,0.1g,89.2mg,1.7g,119.9mg,0.9mg,0mcg,mg
Japchae,Whitney,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,238,4 OZ,5.9g,46.1g,0.8g,0.6g,0g,3.5g,0mg,0g,191.5mg,0.9g,12.9mg,0.3mg,0mcg,42.5mg
Sticky Rice,Whitney,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Lemon Delights,Whitney,Dinner,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-25,238,1 EACH,10.5g,34.6g,7g,0g,0g,22.2g,15.4mg,6.9g,161.2mg,2.1g,0mg,0.7mg,0mcg,35.9mg
Cage Free Boiled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-02-06,150,2 EA,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Corned Beef Hash,Whitney,Breakfast,,['Gluten Friendly'],2023-02-06,185,3 OZ,11.7g,11.7g,4.9g,0g,0g,1.5g,33.9mg,0.8g,587.5mg,7.9g,36.5mg,1mg,0mcg,173.6mg
French Toast,Whitney,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-02-06,315,2 SLICES,9.9g,36.6g,2.9g,0g,0g,4.6g,263.4mg,2g,486mg,16.9g,180.3mg,3.6mg,2.6mcg,169.2mg
Mini Potato Pancakes,Whitney,Breakfast,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-02-06,216,4 OZ,13.7g,23.9g,1.3g,1.5g,0g,1.5g,0mg,0g,552.1mg,1.5g,0mg,0mg,mcg,358.1mg
Omelet Bar,Whitney,Breakfast,,[],2023-02-06,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Scrambled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-02-06,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Scrambled Eggs with American Cheese,Whitney,Breakfast,"Milk, Eggs, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-02-06,167,3 OZ,11.5g,1.8g,5.1g,0g,0g,0.6g,284.1mg,0g,395.6mg,12.6g,120.6mg,1.8mg,1.7mcg,140.5mg
Vegan French Toast,Whitney,Breakfast,"Wheat, Soybeans","['Smart Check', 'Vegetarian', 'Vegan']",2023-02-06,309,2 EACH,8g,48.2g,0.2g,0.1g,0g,9g,0mg,7.2g,542.9mg,11.4g,184.4mg,2.8mg,1.5mcg,219.5mg
Chocolate Chip Bread,Whitney,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-02-06,255,1/16 LOAF,10.8g,38g,5.2g,0.7g,0g,23.1g,39.9mg,0g,187.2mg,3.1g,13.9mg,1.2mg,0mcg,61.2mg
Red Lentil Pasta w/ Sundried Tomatoes,Whitney,Lunch,,"['Gluten Friendly', 'Smart Check', 'Vegetarian', 'Vegan']",2023-02-06,411,6 OZ,2.7g,74.4g,0.2g,5.8g,0g,3.6g,0mg,0g,562.8mg,23.2g,43.7mg,6mg,0.6mcg,971.5mg
Dumpling Bar,Whitney,Lunch,,[],2023-02-06,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,0.2mg,0g,0.1mg,0mg,0mcg,0mg
Italian Chicken Sausage,Whitney,Lunch,,['Gluten Friendly'],2023-02-06,241,4 OZ,12.1g,2.4g,3.6g,0g,0g,0g,96.5mg,0g,844.5mg,31.4g,48.3mg,1.7mg,mcg,mg
Meatball  in Marinara Sauce,Whitney,Lunch,"Milk, Wheat, Soybeans",[],2023-02-06,388,4 EACH,29.1g,16.5g,10.7g,2.5g,1.3g,6g,60mg,0g,1007.8mg,18.5g,104mg,2.3mg,0mcg,mg
Vegan Brats in a Hot Tub,Whitney,Lunch,"Gluten, Coconut","['Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-02-06,292,1 EACH,16.1g,15.9g,7g,4.9g,0g,4.9g,0mg,0g,657.4mg,20.2g,91mg,4.3mg,0mcg,322.5mg
Beef Barley Soup,Whitney,Lunch,"Soybeans, Gluten",['Less Sodium'],2023-02-06,75,6 OZL,1.3g,8.8g,0.4g,1.7g,0g,1.9g,15.4mg,0g,192.6mg,6.9g,64.1mg,0.8mg,0mcg,317.4mg
Garlic Shoestring Fries,Whitney,Lunch,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-02-06,228,4 OZ,17.2g,24.6g,1.8g,2g,0g,0g,0mg,0g,489.3mg,2g,0mg,0.4mg,0mcg,267mg
Sicilian Broccoli,Whitney,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-02-06,40,3 OZ,1.5g,4.3g,0.8g,1.9g,0g,1.2g,4mg,0g,207.2mg,4g,78.9mg,0.7mg,0mcg,264.1mg
Cherry White Chocolate Cookies,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-02-06,180,1 EACH,7g,27g,3.5g,0g,0g,16g,15mg,0g,115mg,2g,26mg,0.7mg,mcg,mg
Lemon Shortbread Bars,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-02-06,198,1/35 HFPAN,8.2g,29.7g,5g,0g,0g,17.2g,13.9mg,13.1g,234.7mg,1.4g,13.8mg,0.6mg,0mcg,27.6mg
Lemon & Herb Grilled Tuna,Whitney,Dinner,Fish,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-02-06,119,1 EACH,3g,0.5g,0.4g,0g,0g,0g,35mg,0g,323.8mg,21.1g,5.9mg,0.7mg,1.4mcg,378mg
Lentil & Mushroom Shepherd's Pie,Whitney,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-02-06,373,8 OZ,3.5g,62.6g,0.8g,22.6g,0g,3.6g,0mg,0g,129.2mg,20.5g,87.4mg,6.5mg,0.2mcg,538.9mg
