Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Hard Boiled Eggs,McMahon,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-20,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Oatmeal Hot Cereal,McMahon,Breakfast,Gluten,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-20,106,8 OZL,2.1g,19.1g,0.4g,0g,0g,0.7g,0mg,0g,82.1mg,3.5g,18.7mg,1.1mg,0mcg,106.3mg
Scrambled Eggs,McMahon,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-20,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Cranberry Orange Bread,McMahon,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-20,260,1/16 LOAF,10g,40.1g,4.5g,0.8g,0g,23.5g,44.9mg,0g,210.6mg,3g,16.1mg,1.1mg,0mcg,50.1mg
Grilled Chicken With Chermoula And Couscous,McMahon,Lunch,Wheat,['Smart Check'],2023-01-20,397,1 PLATE,12.2g,46.3g,2.1g,3.5g,0g,9.4g,51.9mg,0g,386.7mg,24.2g,30.1mg,3.1mg,0.1mcg,278.6mg
Bo Ssam,McMahon,Lunch,"Wheat, Soybeans",['Gluten Friendly'],2023-01-20,560,1 PLATE,29.8g,39.8g,10.3g,2.4g,0g,5.2g,102.6mg,2.6g,870.6mg,33.1g,60.3mg,2.3mg,0mcg,284.3mg
Corn And Black Bean Quesadilla With Sweet Potato Salad,McMahon,Lunch,"Milk, Wheat, Soybeans",['Vegetarian'],2023-01-20,388,1 PLATE,15g,51.5g,5.6g,2.7g,0g,7.5g,18.6mg,3.1g,788.3mg,11.1g,301.7mg,2.8mg,0mcg,420.1mg
Marinara Sauce,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Rotini,McMahon,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,mg
Teriyaki Swordfish With Miso Garlic Noodles,McMahon,Lunch,"Fish, Wheat, Soybeans, Sesame",[],2023-01-20,642,1 PLATE,13g,87.7g,2.4g,0.3g,0g,14.8g,75mg,0.3g,1330.7mg,39.4g,54.9mg,2.9mg,23.8mcg,724.2mg
Chef's Choice Soup du Jour,McMahon,Lunch,,[],2023-01-20,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Pork Lettuce Wraps,McMahon,Lunch,"Wheat, Soybeans, Sesame",[],2023-01-20,413,2 EACH,29.4g,7.2g,10.3g,2.4g,0g,3.4g,102.6mg,1.8g,984.2mg,28.9g,38.4mg,2.3mg,0mcg,253.1mg
Sticky Rice,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Couscous With Dates and Pumpkin Seeds,McMahon,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,228,4 OZ,4.2g,38.2g,0.7g,1.1g,0g,6.6g,3.6mg,0g,107.1mg,6g,16.6mg,2.2mg,0.1mcg,143.1mg
Grilled Chicken With Chermoula,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-20,132,1 EACH,7g,0.6g,1.2g,0.2g,0g,0g,48.3mg,0g,211.5mg,17.4g,7.8mg,0.7mg,0mcg,29.3mg
Grilled Eggplant,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,37,2 OZ,1g,7.5g,0.2g,2.1g,0g,2.7g,0mg,0g,68.2mg,0.7g,5.6mg,0.2mg,0mcg,106.2mg
Miso Garlic Noodles,McMahon,Lunch,"Wheat, Soybeans, Sesame",[],2023-01-20,441,6 OZ,5.5g,78.9g,0.8g,0.3g,0g,6.1g,0mg,2.2g,1083.6mg,16.5g,38mg,2.2mg,0mcg,250.9mg
