Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Sticky Rice,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Chocolate Chip Cookie,North,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-23,170,1 EACH,8g,23g,4g,1g,0g,15g,10mg,0g,130mg,2g,0mg,2mg,mcg,70mg
Lemon Bars,North,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-23,238,1/35 HFSHT,6.2g,40.5g,2.6g,0g,0g,28.7g,41.8mg,0g,142.9mg,1.7g,0.5mg,0.6mg,0mcg,33.4mg
Beef Burger No Bun,North,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-23,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Beer Battered Onion Rings,North,Lunch,"Milk, Wheat, Soybeans, Gluten",['Vegetarian'],2023-01-23,351,4 OZ,24g,32.6g,2.9g,1.4g,0g,5.7g,0mg,1.1g,482mg,2.8g,0mg,2mg,0mcg,99.2mg
Beet and Kale Burger w/ Bun,North,Lunch,"Wheat, Soybeans","['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-23,310,1 EA,3.5g,59g,0g,6g,0g,11g,0mg,0g,470mg,10g,63mg,1.4mg,0mcg,mg
Cheese Sauce,North,Lunch,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-23,70,2 OZL,5g,4g,2g,0g,0g,1g,10mg,0g,500mg,2g,104mg,0mg,mcg,mg
Garlic Bread Grilled Cheese,North,Lunch,"Milk, Wheat, Soybeans",['Vegetarian'],2023-01-23,269,1 EACH,14.4g,25.2g,8.6g,2g,0g,3g,37.6mg,2g,778mg,9.1g,172.3mg,1.3mg,0.1mcg,122.8mg
Grilled Cheese,North,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-23,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-23,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Hot Dogs,North,Lunch,,['Gluten Friendly'],2023-01-23,172,1 EACH,15.2g,2g,5.1g,0g,0g,1g,30.4mg,0g,587.3mg,7.1g,26.3mg,0.7mg,mcg,mg
Tomato Soup,North,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,63,6 OZL,0g,14g,0g,0g,0g,8.4g,0mg,4.9g,338.8mg,1.4g,16.5mg,0.5mg,0mcg,202.7mg
Grilled Cheese Bar,North,Lunch,,[],2023-01-23,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Potato Chips,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,162,1 OZ,10.1g,15.2g,1.5g,1g,g,1g,0mg,0g,172.1mg,2g,0mg,0.4mg,0mcg,354.4mg
Chef's Choice Pasta Du Jour,North,Lunch,Wheat,[],2023-01-23,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,0mg
Marinara Sauce,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Cheese Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-23,152,1/16 PIE,4.9g,20g,2.4g,1g,0g,1.8g,11.4mg,0.4g,303.6mg,7.3g,120.4mg,1.3mg,0mcg,26.5mg
Pepperoni Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-23,178,1/16 PIE,7.3g,20g,3.3g,1g,0g,1.8g,17mg,0.4g,397.3mg,8.4g,124.2mg,1.3mg,0mcg,26.5mg
Special Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-23,149,1/16 PIE,4.9g,19.3g,2.4g,0.8g,0g,1.4g,11.4mg,0.4g,291.9mg,7.2g,118.5mg,1.2mg,0mcg,26.5mg
Sugar & Spice Salmon,North,Dinner,Fish,"['Gluten Friendly', 'Smart Check']",2023-01-23,187,1 EACH,7.3g,5.3g,1g,0.7g,0g,4.3g,45.2mg,4.2g,674.1mg,22.4g,10mg,0.5mg,0mcg,25.5mg
Cider Braised Pot Roast,North,Dinner,"Wheat, Soybeans",['Less Sodium'],2023-01-23,320,4 OZ,17g,3.6g,6.1g,0.1g,0g,1.5g,104.6mg,0g,519mg,37.7g,5.2mg,2.9mg,0mcg,608.5mg
Red Lentil Penne & Veggies in Wine Sauce,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-23,302,6 OZ,1.9g,54.2g,0.2g,4.7g,0g,3.3g,0mg,0g,365.1mg,17g,33.1mg,4mg,0.4mcg,641.1mg
Meat Sauce,North,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-23,145,4 OZL,8.8g,9.6g,2.7g,1.6g,0.3g,8g,20.2mg,0g,399.3mg,7g,37.4mg,1.9mg,0mcg,mg
Pot Roast Potatoes,North,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium']",2023-01-23,54,3 oz,0.1g,12.7g,0g,1.5g,0g,2.9g,0mg,0.3g,134.5mg,2.2g,41.5mg,0.6mg,0mcg,395.3mg
Steamed Broccoli,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,24,3 OZ,0.3g,4.3g,0g,2g,0g,1.3g,0mg,0g,23mg,2.5g,40.8mg,0.7mg,0mcg,276.4mg
Sticky Rice,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Wild Mushroom Risotto,North,Dinner,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-23,139,4 OZ,3.3g,23.1g,2.1g,1g,0g,0.4g,9mg,0g,282.5mg,3.2g,41mg,0.3mg,0mcg,68.8mg
Brown Gravy,North,Dinner,"Wheat, Soybeans",['Less Sodium'],2023-01-23,50,2 OZL,3.3g,3.6g,1g,0g,0g,0.5g,0mg,0g,146.1mg,1g,27.8mg,0.2mg,0mcg,79.9mg
Apple Pie,North,Dinner,"Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,495,1/8 PIE,28.5g,58.5g,12g,3g,0g,28.5g,0mg,0g,465mg,3g,0mg,1.6mg,0mcg,mg
Awesome Burger,North,Dinner,"Wheat, Coconut","['Contains Nuts', 'Vegetarian', 'Vegan']",2023-01-23,270,1 EACH,16g,9g,8g,0g,0g,1g,0mg,0g,460mg,22g,160mg,4.3mg,0mcg,200mg
Beef Burger No Bun,North,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-23,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Beer Battered Onion Rings,North,Dinner,"Milk, Wheat, Soybeans, Gluten",['Vegetarian'],2023-01-23,351,4 OZ,24g,32.6g,2.9g,1.4g,0g,5.7g,0mg,1.1g,482mg,2.8g,0mg,2mg,0mcg,99.2mg
Cheese Sauce,North,Dinner,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-23,70,2 OZL,5g,4g,2g,0g,0g,1g,10mg,0g,500mg,2g,104mg,0mg,mcg,mg
Grilled Cheese,North,Dinner,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-23,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-23,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Hot Dogs,North,Dinner,,['Gluten Friendly'],2023-01-23,172,1 EACH,15.2g,2g,5.1g,0g,0g,1g,30.4mg,0g,587.3mg,7.1g,26.3mg,0.7mg,mcg,mg
Tomato Soup,North,Dinner,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,63,6 OZL,0g,14g,0g,0g,0g,8.4g,0mg,4.9g,338.8mg,1.4g,16.5mg,0.5mg,0mcg,202.7mg
Taco Bar,North,Dinner,,[],2023-01-23,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Chef's Choice Pasta Du Jour,North,Dinner,Wheat,[],2023-01-23,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,0mg
Marinara Sauce,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-23,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Cheese Pizza,North,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-23,152,1/16 PIE,4.9g,20g,2.4g,1g,0g,1.8g,11.4mg,0.4g,303.6mg,7.3g,120.4mg,1.3mg,0mcg,26.5mg
Pepperoni Pizza,North,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-23,178,1/16 PIE,7.3g,20g,3.3g,1g,0g,1.8g,17mg,0.4g,397.3mg,8.4g,124.2mg,1.3mg,0mcg,26.5mg
Special Pizza,North,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-23,149,1/16 PIE,4.9g,19.3g,2.4g,0.8g,0g,1.4g,11.4mg,0.4g,291.9mg,7.2g,118.5mg,1.2mg,0mcg,26.5mg
Breakfast Potatoes,North,Breakfast,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,126,4 OZ,3g,22.7g,1g,0.2g,0g,0g,0mg,0g,350.1mg,1.5g,2.2mg,0.1mg,0mcg,9.6mg
Buttermilk Waffles,North,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-24,224,1 EACH,8.5g,28.5g,1g,0g,0g,8.6g,57.3mg,7.1g,199.9mg,6.5g,135.6mg,1.8mg,0.3mcg,103.9mg
Cheesy Scrambled Eggs,North,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,158,3 OZ,10.5g,0g,4.4g,0g,0g,0g,305.6mg,0g,166.5mg,12.5g,104.3mg,1.9mg,1.7mcg,113.5mg
Cream of Wheat,North,Breakfast,"Milk, Wheat","['Less Sodium', 'Vegetarian']",2023-01-24,152,6 ozl,3.2g,22.8g,1.9g,0g,0g,8.3g,12.7mg,0g,142.9mg,7.6g,412.9mg,5.7mg,3.2mcg,mg
French Toast Stix,North,Breakfast,"Wheat, Soybeans, Gluten",['Vegetarian'],2023-01-24,540,5 EACH,34.3g,54.7g,2.9g,1.3g,0g,12.7g,0mg,12.7g,572.3mg,6.4g,25.4mg,3.2mg,0mcg,63.6mg
Hard Boiled Eggs,North,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Oatmeal Hot Cereal,North,Breakfast,Gluten,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-24,106,8 OZL,2.1g,19.1g,0.4g,2.8g,0g,0.7g,0mg,0g,82.1mg,3.5g,18.7mg,1.1mg,0mcg,106.3mg
Pork Sausage Links,North,Breakfast,,['Gluten Friendly'],2023-01-24,202,2 EACH,19.2g,0g,7.1g,0g,0g,0g,35.3mg,0g,433.4mg,6g,26.2mg,0.4mg,mcg,mg
Scrambled Eggs,North,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Warm Apple Topping,North,Breakfast,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,84,2 OZL,0g,21.8g,0g,0.1g,0g,18.9g,0mg,15.2g,14.2mg,0g,5.3mg,0mg,0mcg,31.2mg
Pina Colada Muffin,North,Breakfast,"Milk, Eggs, Wheat, Soybeans, Coconut, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,341,1 EACH,16.4g,44.2g,3.5g,0.8g,0g,28.4g,55.8mg,23.2g,212.8mg,3.6g,28.5mg,0.5mg,0.3mcg,55.2mg
Sticky Rice,North,Breakfast,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,139,3 OZ,0.2g,30.7g,0g,0g,0g,0g,0mg,0g,1.9mg,2.6g,5mg,0.3mg,0mcg,33.7mg
Omelet Bar,North,Breakfast,,[],2023-01-24,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Frittata,North,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,136,1 WEDGE,10.9g,2.5g,2.5g,0.2g,0g,1.1g,216.3mg,0g,227.9mg,6.6g,47mg,0.8mg,0.3mcg,12.6mg
M & M Cookies,North,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,160,1 EACH,7g,24g,3.5g,1g,0g,15g,10mg,0g,140mg,2g,0mg,0.7mg,0mcg,35mg
Snickerdoodle Cookies,North,Lunch,"Milk, Eggs, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,342,2 EACH,14.4g,50.8g,8.2g,0.2g,0g,29.9g,30.8mg,3.2g,287.6mg,4.1g,8mg,1.6mg,0mcg,73.9mg
Island Jerk Chicken,North,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-24,240,1 EACH,7.9g,3.3g,1.7g,0.8g,0g,1.4g,164.1mg,0.4g,375mg,35.1g,49.3mg,2.1mg,0mcg,66.4mg
Crab Cakes with Remoulade,North,Lunch,"Milk, Eggs, Fish, Crustacean Shellfish, Wheat, Soybeans",[],2023-01-24,286,2 EACH,15g,27.5g,2.9g,1.4g,0g,4.4g,42.8mg,1.9g,913.8mg,9.6g,16.5mg,0.3mg,0mcg,42.8mg
Bread Boule,North,Lunch,"Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,321,1 EACH,2.4g,61.2g,0.5g,1.6g,0g,0.4g,0mg,0g,509.8mg,11.9g,2.2mg,4.1mg,0mcg,102.3mg
Chef's Choice Soup du Jour,North,Lunch,,[],2023-01-24,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Alfredo Sauce,North,Lunch,"Milk, Wheat","['Less Sodium', 'Vegetarian']",2023-01-24,325,4 OZL,27.2g,3.7g,17.3g,0g,0g,4.7g,88.8mg,0g,507.4mg,13g,1384.5mg,0.1mg,0.8mcg,4.7mg
Basmati Rice,North,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,178,4 OZ,2.6g,34.9g,0.8g,0g,0g,0g,0mg,0g,23.8mg,2.9g,2.1mg,0mg,0mcg,0mg
Grilled Guinness Bratwurst with Bun,North,Lunch,"Wheat, Soybeans, Gluten, The UConn bakery uses coconut (a tree nut).",[],2023-01-24,505,1 EACH,26.7g,46.1g,8g,1.2g,0g,3.4g,74.8mg,1g,1176.9mg,21.3g,24mg,4.3mg,0mcg,179.4mg
Peas,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,69,3 OZ,0g,11.8g,0g,3.9g,0g,0g,0mg,0g,0mg,4.9g,13.7mg,1mg,0mcg,132.3mg
Sicilian Broccoli,North,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,40,3 OZ,1.5g,4.3g,0.8g,1.9g,0g,1.2g,4mg,0g,207.2mg,4g,78.9mg,0.7mg,0mcg,264.1mg
Sticky Rice,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Tortellini with Roasted Pepper Tomato Sauce,North,Lunch,"Milk, Eggs, Wheat","['Less Sodium', 'Vegetarian']",2023-01-24,173,4 OZ,6.2g,24.2g,1.6g,1.2g,0g,2.2g,21mg,0g,470mg,4.9g,28.6mg,1.2mg,0mcg,4.5mg
Beef Burger No Bun,North,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-24,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Cheese Sauce,North,Lunch,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,70,2 OZL,5g,4g,2g,0g,0g,1g,10mg,0g,500mg,2g,104mg,0mg,mcg,mg
Fall Turkey Panini,North,Lunch,"Milk, Wheat, Soybeans",[],2023-01-24,436,1 HALF,27g,26.4g,11.8g,1.2g,0g,4.4g,76.1mg,0g,931.1mg,23.3g,334.2mg,1.4mg,0mcg,141.8mg
Grilled Cheese,North,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-24,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-24,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Hot Dogs,North,Lunch,,['Gluten Friendly'],2023-01-24,172,1 EACH,15.2g,2g,5.1g,0g,0g,1g,30.4mg,0g,587.3mg,7.1g,26.3mg,0.7mg,mcg,mg
Straight Cut French Fries,North,Lunch,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-24,196,4 OZ,15.2g,17g,1.3g,1g,0g,1g,0mg,0g,520.3mg,1g,20mg,0.4mg,mcg,260.2mg
Tomato Soup,North,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,63,6 OZL,0g,14g,0g,0g,0g,8.4g,0mg,4.9g,338.8mg,1.4g,16.5mg,0.5mg,0mcg,202.7mg
Cocktail Sauce,North,Lunch,Soybeans,"['Gluten Friendly', 'Vegetarian', 'Vegan']",2023-01-24,82,1 OZL,0g,20.3g,0g,0g,0g,15g,0mg,0g,733mg,0g,0mg,0mg,0mcg,mg
Dill Tartar Sauce,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,163,1 OZL,17.6g,0.9g,1.6g,0g,0g,0.9g,0mg,0g,160.8mg,0g,1.9mg,0mg,0mcg,0.7mg
Stir Fry Bar,North,Lunch,,[],2023-01-24,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Chef's Choice Pasta Du Jour,North,Lunch,Wheat,[],2023-01-24,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,0mg
Marinara Sauce,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Cheese Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,152,1/16 PIE,4.9g,20g,2.4g,1g,0g,1.8g,11.4mg,0.4g,303.6mg,7.3g,120.4mg,1.3mg,0mcg,26.5mg
Pepperoni Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-24,178,1/16 PIE,7.3g,20g,3.3g,1g,0g,1.8g,17mg,0.4g,397.3mg,8.4g,124.2mg,1.3mg,0mcg,26.5mg
Special Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-24,149,1/16 PIE,4.9g,19.3g,2.4g,0.8g,0g,1.4g,11.4mg,0.4g,291.9mg,7.2g,118.5mg,1.2mg,0mcg,26.5mg
Tamarind Glazed Salmon,North,Dinner,Fish,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-24,171,1 EACH,7g,2.8g,1g,0g,0g,2.8g,45.2mg,2.5g,76mg,22.1g,0.5mg,0mg,0mcg,0mg
Cajun Crusted Steak with Caramelized Onion,North,Dinner,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-24,270,1 EACH,18g,1.8g,7.6g,0.1g,1g,2.4g,78.5mg,0g,236.3mg,20.8g,19mg,1.9mg,0mcg,10mg
Alfredo Sauce,North,Dinner,"Milk, Wheat","['Less Sodium', 'Vegetarian']",2023-01-24,325,4 OZL,27.2g,3.7g,17.3g,0g,0g,4.7g,88.8mg,0g,507.4mg,13g,1384.5mg,0.1mg,0.8mcg,4.7mg
Baked Sweet Potato,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,132,1 HALF,1.8g,27.1g,0.1g,4g,0g,5.6g,0mg,0g,74.1mg,2.1g,40.4mg,0.8mg,0mcg,453.8mg
Chicken and Sausage Gumbo,North,Dinner,"Wheat, Soybeans",['Less Sodium'],2023-01-24,128,4 OZL,6.9g,3.7g,2.5g,0.3g,0.1g,0.8g,30.9mg,0g,288.3mg,12.2g,11.6mg,0.5mg,0mcg,36.7mg
Italian Vegetables,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,31,4 OZ,0.9g,5.4g,0.1g,1.2g,0g,3.7g,0mg,0g,118.7mg,1.6g,15.7mg,0.4mg,0mcg,277.3mg
Sauteed Kale,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,66,3 OZ,2g,10.5g,0.2g,4.2g,0g,2.8g,0mg,0g,43.3mg,4.9g,171.6mg,1.7mg,0mcg,565.1mg
Sticky Rice,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Midnight Choc Cake w/ Chocolate Frosting,North,Dinner,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,308,1/35 HFSHT,15.2g,37.9g,8.8g,1g,0.2g,25.6g,15.9mg,0g,329.6mg,2.7g,17.1mg,1.6mg,0mcg,81.6mg
Beef Burger No Bun,North,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-24,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Fall Turkey Panini,North,Dinner,"Milk, Wheat, Soybeans",[],2023-01-24,436,1 HALF,27g,26.4g,11.8g,1.2g,0g,4.4g,76.1mg,0g,931.1mg,23.3g,334.2mg,1.4mg,0mcg,141.8mg
Grilled Cheese,North,Dinner,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-24,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-24,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Hot Dogs,North,Dinner,,['Gluten Friendly'],2023-01-24,172,1 EACH,15.2g,2g,5.1g,0g,0g,1g,30.4mg,0g,587.3mg,7.1g,26.3mg,0.7mg,mcg,mg
Straight Cut French Fries,North,Dinner,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-24,196,4 OZ,15.2g,17g,1.3g,1g,0g,1g,0mg,0g,520.3mg,1g,20mg,0.4mg,mcg,260.2mg
Stir Fry Bar,North,Dinner,,[],2023-01-24,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Chef's Choice Pasta Du Jour,North,Dinner,Wheat,[],2023-01-24,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,0mg
Marinara Sauce,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Cheese Pizza,North,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,152,1/16 PIE,4.9g,20g,2.4g,1g,0g,1.8g,11.4mg,0.4g,303.6mg,7.3g,120.4mg,1.3mg,0mcg,26.5mg
Pepperoni Pizza,North,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-24,178,1/16 PIE,7.3g,20g,3.3g,1g,0g,1.8g,17mg,0.4g,397.3mg,8.4g,124.2mg,1.3mg,0mcg,26.5mg
